#INST  CMOD   FORCE   
0.000000E+00          0.000000E+00              0.000000E+00 
1.000000E-03          3.489080E-03              1.143795E+02 
2.000000E-03          6.978328E-03              2.286934E+02 
3.000000E-03          1.046768E-02              3.429676E+02 
4.000000E-03          1.395714E-02              4.572561E+02 
5.000000E-03          1.744672E-02              5.715588E+02 
6.000000E-03          2.093727E-02              6.856124E+02 
7.000000E-03          2.442848E-02              7.996224E+02 
8.000000E-03          2.792066E-02              9.134511E+02 
9.000000E-03          3.141389E-02              1.027083E+03 
1.000000E-02          3.490806E-02              1.140538E+03 
1.100000E-02          3.840322E-02              1.253806E+03 
1.200000E-02          4.189950E-02              1.366863E+03 
1.300000E-02          4.539672E-02              1.479743E+03 
1.400000E-02          4.889496E-02              1.592431E+03 
1.500000E-02          5.239432E-02              1.704904E+03 
1.600000E-02          5.589468E-02              1.817189E+03 
1.700000E-02          5.939600E-02              1.929293E+03 
1.800000E-02          6.289849E-02              2.041172E+03 
1.900000E-02          6.640201E-02              2.152854E+03 
2.000000E-02          6.990662E-02              2.264326E+03 
2.100000E-02          7.341249E-02              2.375547E+03 
2.200000E-02          7.691947E-02              2.486557E+03 
2.300000E-02          8.042772E-02              2.597310E+03 
2.400000E-02          8.393731E-02              2.707798E+03 
2.500000E-02          8.744817E-02              2.818032E+03 
2.600000E-02          9.096040E-02              2.927990E+03 
2.700000E-02          9.447409E-02              3.037651E+03 
2.800000E-02          9.798920E-02              3.147022E+03 
2.900000E-02          1.015058E-01              3.256092E+03 
3.000000E-02          1.050239E-01              3.364841E+03 
3.100000E-02          1.085436E-01              3.473282E+03 
3.200000E-02          1.120648E-01              3.581391E+03 
3.300000E-02          1.155876E-01              3.689170E+03 
3.400000E-02          1.191120E-01              3.796611E+03 
3.500000E-02          1.226382E-01              3.903689E+03 
3.600000E-02          1.261660E-01              4.010421E+03 
3.700000E-02          1.296956E-01              4.116779E+03 
3.800000E-02          1.332269E-01              4.222771E+03 
3.900000E-02          1.367600E-01              4.328387E+03 
4.000000E-02          1.402948E-01              4.433635E+03 
4.100000E-02          1.438314E-01              4.538486E+03 
4.200000E-02          1.473702E-01              4.642887E+03 
4.300000E-02          1.509104E-01              4.746977E+03 
4.400000E-02          1.544526E-01              4.850631E+03 
4.500000E-02          1.579968E-01              4.953862E+03 
4.600000E-02          1.615429E-01              5.056689E+03 
4.700000E-02          1.650909E-01              5.159074E+03 
4.800000E-02          1.686407E-01              5.261093E+03 
4.900000E-02          1.721922E-01              5.362761E+03 
5.000000E-02          1.757463E-01              5.463824E+03 
5.100000E-02          1.793035E-01              5.564210E+03 
5.200000E-02          1.828636E-01              5.663945E+03 
5.300000E-02          1.864274E-01              5.762875E+03 
5.400000E-02          1.899955E-01              5.860858E+03 
5.500000E-02          1.935672E-01              5.958055E+03 
5.600000E-02          1.971434E-01              6.054256E+03 
5.700000E-02          2.007249E-01              6.149241E+03 
5.800000E-02          2.043110E-01              6.243209E+03 
5.900000E-02          2.079017E-01              6.336165E+03 
6.000000E-02          2.114980E-01              6.427886E+03 
6.100000E-02          2.150993E-01              6.518455E+03 
6.200000E-02          2.187055E-01              6.607939E+03 
6.300000E-02          2.223171E-01              6.696248E+03 
6.400000E-02          2.259337E-01              6.783429E+03 
6.500000E-02          2.295563E-01              6.869237E+03 
6.600000E-02          2.331852E-01              6.953633E+03 
6.700000E-02          2.368195E-01              7.036801E+03 
6.800000E-02          2.404582E-01              7.119002E+03 
6.900000E-02          2.441036E-01              7.199706E+03 
7.000000E-02          2.477551E-01              7.279006E+03 
7.100000E-02          2.514112E-01              7.357294E+03 
7.200000E-02          2.550730E-01              7.434295E+03 
7.300000E-02          2.587400E-01              7.510134E+03 
7.400000E-02          2.624138E-01              7.584446E+03 
7.500000E-02          2.660945E-01              7.657196E+03 
7.600000E-02          2.697810E-01              7.728618E+03 
7.700000E-02          2.734727E-01              7.798861E+03 
7.800000E-02          2.771700E-01              7.867861E+03 
7.900000E-02          2.808733E-01              7.935513E+03 
8.000000E-02          2.845829E-01              8.001748E+03 
8.100000E-02          2.882978E-01              8.066800E+03 
8.200000E-02          2.920179E-01              8.130639E+03 
8.300000E-02          2.957434E-01              8.193302E+03 
8.400000E-02          2.994752E-01              8.254245E+03 
8.500000E-02          3.032122E-01              8.313574E+03 
8.600000E-02          3.069541E-01              8.371832E+03 
8.700000E-02          3.107019E-01              8.428808E+03 
8.800000E-02          3.144571E-01              8.484145E+03 
8.900000E-02          3.182175E-01              8.538327E+03 
9.000000E-02          3.219840E-01              8.591182E+03 
9.100000E-02          3.257587E-01              8.642274E+03 
9.200000E-02          3.295406E-01              8.691769E+03 
9.300000E-02          3.333288E-01              8.739924E+03 
9.400000E-02          3.371261E-01              8.786112E+03 
9.500000E-02          3.409287E-01              8.831168E+03 
9.600000E-02          3.447427E-01              8.873806E+03 
9.700000E-02          3.485660E-01              8.914429E+03 
9.800000E-02          3.524016E-01              8.952451E+03 
9.900000E-02          3.562683E-01              8.983807E+03 
1.000000E-01          3.601489E-01              9.012172E+03 
1.010000E-01          3.640384E-01              9.038664E+03 
1.020000E-01          3.679338E-01              9.063911E+03 
1.030000E-01          3.718334E-01              9.088247E+03 
1.040000E-01          3.757371E-01              9.111715E+03 
