#INST CMOD FORCE
0.00000E+00 0.00000E+00 0.00000E+00
1.00000E-03 1.73770E-03 1.16225E+01
2.00000E-03 3.47545E-03 2.32385E+01
3.00000E-03 5.21323E-03 3.48497E+01
4.00000E-03 6.95105E-03 4.64618E+01
5.00000E-03 8.68891E-03 5.80747E+01
6.00000E-03 1.04268E-02 6.96885E+01
7.00000E-03 1.21647E-02 8.13032E+01
8.00000E-03 1.39027E-02 9.29188E+01
9.00000E-03 1.56407E-02 1.04535E+02
1.00000E-02 1.73788E-02 1.16144E+02
1.10000E-02 1.91170E-02 1.27753E+02
1.20000E-02 2.08556E-02 1.39353E+02
1.30000E-02 2.25944E-02 1.50943E+02
1.40000E-02 2.43334E-02 1.62525E+02
1.50000E-02 2.60727E-02 1.74096E+02
1.60000E-02 2.78125E-02 1.85651E+02
1.70000E-02 2.95525E-02 1.97194E+02
1.80000E-02 3.12929E-02 2.08724E+02
1.90000E-02 3.30336E-02 2.20243E+02
2.00000E-02 3.47747E-02 2.31750E+02
2.10000E-02 3.65161E-02 2.43242E+02
2.20000E-02 3.82579E-02 2.54720E+02
2.30000E-02 4.00000E-02 2.66185E+02
2.40000E-02 4.17425E-02 2.77637E+02
2.50000E-02 4.34853E-02 2.89076E+02
2.60000E-02 4.52284E-02 3.00501E+02
2.70000E-02 4.69720E-02 3.11913E+02
2.80000E-02 4.87159E-02 3.23310E+02
2.90000E-02 5.04601E-02 3.34694E+02
3.00000E-02 5.22047E-02 3.46064E+02
3.10000E-02 5.39497E-02 3.57420E+02
3.20000E-02 5.56950E-02 3.68763E+02
3.30000E-02 5.74407E-02 3.80092E+02
3.40000E-02 5.91867E-02 3.91406E+02
3.50000E-02 6.09332E-02 4.02706E+02
3.60000E-02 6.26800E-02 4.13992E+02
3.70000E-02 6.44272E-02 4.25263E+02
3.80000E-02 6.61747E-02 4.36520E+02
3.90000E-02 6.79226E-02 4.47762E+02
4.00000E-02 6.96709E-02 4.58990E+02
4.10000E-02 7.14196E-02 4.70202E+02
4.20000E-02 7.31687E-02 4.81399E+02
4.30000E-02 7.49182E-02 4.92581E+02
4.40000E-02 7.66680E-02 5.03747E+02
4.50000E-02 7.84183E-02 5.14898E+02
4.60000E-02 8.01690E-02 5.26034E+02
4.70000E-02 8.19200E-02 5.37153E+02
4.80000E-02 8.36715E-02 5.48255E+02
4.90000E-02 8.54234E-02 5.59341E+02
5.00000E-02 8.71757E-02 5.70410E+02
5.10000E-02 8.89285E-02 5.81461E+02
5.20000E-02 9.06817E-02 5.92496E+02
5.30000E-02 9.24353E-02 6.03512E+02
5.40000E-02 9.41894E-02 6.14511E+02
5.50000E-02 9.59439E-02 6.25491E+02
5.60000E-02 9.76989E-02 6.36453E+02
5.70000E-02 9.94544E-02 6.47396E+02
5.80000E-02 1.01210E-01 6.58321E+02
5.90000E-02 1.02967E-01 6.69226E+02
6.00000E-02 1.04724E-01 6.80112E+02
6.10000E-02 1.06481E-01 6.90977E+02
6.20000E-02 1.08239E-01 7.01823E+02
6.30000E-02 1.09997E-01 7.12649E+02
6.40000E-02 1.11756E-01 7.23454E+02
6.50000E-02 1.13515E-01 7.34239E+02
6.60000E-02 1.15275E-01 7.45003E+02
6.70000E-02 1.17035E-01 7.55747E+02
6.80000E-02 1.18796E-01 7.66469E+02
6.90000E-02 1.20557E-01 7.77169E+02
7.00000E-02 1.22319E-01 7.87848E+02
7.10000E-02 1.24082E-01 7.98506E+02
7.20000E-02 1.25845E-01 8.09141E+02
7.30000E-02 1.27608E-01 8.19755E+02
7.40000E-02 1.29372E-01 8.30346E+02
7.50000E-02 1.31136E-01 8.40914E+02
7.60000E-02 1.32901E-01 8.51460E+02
7.70000E-02 1.34667E-01 8.61984E+02
7.80000E-02 1.36433E-01 8.72484E+02
7.90000E-02 1.38200E-01 8.82961E+02
8.00000E-02 1.39967E-01 8.93416E+02
8.10000E-02 1.41735E-01 9.03846E+02
8.20000E-02 1.43503E-01 9.14253E+02
8.30000E-02 1.45272E-01 9.24635E+02
8.40000E-02 1.47041E-01 9.34994E+02
8.50000E-02 1.48811E-01 9.45327E+02
8.60000E-02 1.50582E-01 9.55632E+02
8.70000E-02 1.52353E-01 9.65908E+02
8.80000E-02 1.54126E-01 9.76156E+02
8.90000E-02 1.55898E-01 9.86373E+02
9.00000E-02 1.57672E-01 9.96558E+02
9.10000E-02 1.59446E-01 1.00671E+03
9.20000E-02 1.61221E-01 1.01683E+03
9.30000E-02 1.62997E-01 1.02692E+03
9.40000E-02 1.64773E-01 1.03697E+03
9.50000E-02 1.66551E-01 1.04698E+03
9.60000E-02 1.68329E-01 1.05696E+03
9.70000E-02 1.70108E-01 1.06689E+03
9.80000E-02 1.71888E-01 1.07679E+03
9.90000E-02 1.73669E-01 1.08664E+03
1.00000E-01 1.75452E-01 1.09645E+03
1.01000E-01 1.77235E-01 1.10621E+03
1.02000E-01 1.79019E-01 1.11592E+03
1.03000E-01 1.80805E-01 1.12559E+03
1.04000E-01 1.82591E-01 1.13520E+03
1.05000E-01 1.84379E-01 1.14476E+03
1.06000E-01 1.86168E-01 1.15426E+03
1.07000E-01 1.87959E-01 1.16370E+03
1.08000E-01 1.89750E-01 1.17309E+03
1.09000E-01 1.91543E-01 1.18242E+03
1.10000E-01 1.93338E-01 1.19168E+03
1.11000E-01 1.95134E-01 1.20088E+03
1.12000E-01 1.96931E-01 1.21002E+03
1.13000E-01 1.98730E-01 1.21909E+03
1.14000E-01 2.00530E-01 1.22811E+03
1.15000E-01 2.02332E-01 1.23706E+03
1.16000E-01 2.04135E-01 1.24594E+03
1.17000E-01 2.05939E-01 1.25476E+03
1.18000E-01 2.07746E-01 1.26350E+03
1.19000E-01 2.09554E-01 1.27217E+03
1.20000E-01 2.11363E-01 1.28077E+03
1.21000E-01 2.13174E-01 1.28930E+03
1.22000E-01 2.14987E-01 1.29776E+03
1.23000E-01 2.16801E-01 1.30616E+03
1.24000E-01 2.18616E-01 1.31448E+03
1.25000E-01 2.20434E-01 1.32273E+03
1.26000E-01 2.22253E-01 1.33090E+03
1.27000E-01 2.24074E-01 1.33901E+03
1.28000E-01 2.25896E-01 1.34704E+03
1.29000E-01 2.27720E-01 1.35499E+03
1.30000E-01 2.29546E-01 1.36286E+03
1.31000E-01 2.31373E-01 1.37067E+03
1.32000E-01 2.33202E-01 1.37840E+03
1.33000E-01 2.35033E-01 1.38606E+03
1.34000E-01 2.36864E-01 1.39365E+03
1.35000E-01 2.38698E-01 1.40116E+03
1.36000E-01 2.40534E-01 1.40858E+03
1.37000E-01 2.42371E-01 1.41593E+03
1.38000E-01 2.44209E-01 1.42321E+03
1.39000E-01 2.46050E-01 1.43041E+03
1.40000E-01 2.47892E-01 1.43754E+03
1.41000E-01 2.49736E-01 1.44460E+03
1.42000E-01 2.51581E-01 1.45157E+03
1.43000E-01 2.53428E-01 1.45847E+03
1.44000E-01 2.55277E-01 1.46530E+03
1.45000E-01 2.57128E-01 1.47204E+03
1.46000E-01 2.58980E-01 1.47871E+03
1.47000E-01 2.60834E-01 1.48530E+03
1.48000E-01 2.62690E-01 1.49181E+03
1.49000E-01 2.64548E-01 1.49824E+03
1.50000E-01 2.66407E-01 1.50460E+03
1.51000E-01 2.68268E-01 1.51088E+03
1.52000E-01 2.70130E-01 1.51707E+03
1.53000E-01 2.71995E-01 1.52319E+03
1.54000E-01 2.73861E-01 1.52923E+03
1.55000E-01 2.75729E-01 1.53519E+03
1.56000E-01 2.77599E-01 1.54108E+03
1.57000E-01 2.79470E-01 1.54689E+03
1.58000E-01 2.81343E-01 1.55261E+03
1.59000E-01 2.83218E-01 1.55826E+03
1.60000E-01 2.85094E-01 1.56383E+03
1.61000E-01 2.86973E-01 1.56933E+03
1.62000E-01 2.88853E-01 1.57472E+03
1.63000E-01 2.90735E-01 1.58003E+03
1.64000E-01 2.92619E-01 1.58526E+03
1.65000E-01 2.94506E-01 1.59040E+03
1.66000E-01 2.96394E-01 1.59545E+03
1.67000E-01 2.98284E-01 1.60040E+03
1.68000E-01 3.00176E-01 1.60526E+03
1.69000E-01 3.02071E-01 1.61001E+03
1.70000E-01 3.03969E-01 1.61465E+03
1.71000E-01 3.05869E-01 1.61918E+03
1.72000E-01 3.07771E-01 1.62361E+03
1.73000E-01 3.09675E-01 1.62793E+03
1.74000E-01 3.11582E-01 1.63216E+03
1.75000E-01 3.13491E-01 1.63630E+03
1.76000E-01 3.15403E-01 1.64033E+03
1.77000E-01 3.17317E-01 1.64425E+03
1.78000E-01 3.19233E-01 1.64806E+03
1.79000E-01 3.21152E-01 1.65178E+03
1.80000E-01 3.23074E-01 1.65538E+03
1.81000E-01 3.24998E-01 1.65886E+03
1.82000E-01 3.26926E-01 1.66221E+03
1.83000E-01 3.28856E-01 1.66544E+03
1.84000E-01 3.30789E-01 1.66854E+03
1.85000E-01 3.32726E-01 1.67150E+03
1.86000E-01 3.34667E-01 1.67431E+03
1.87000E-01 3.36611E-01 1.67696E+03
1.88000E-01 3.38559E-01 1.67945E+03
1.89000E-01 3.40511E-01 1.68175E+03
1.90000E-01 3.42468E-01 1.68387E+03
1.91000E-01 3.44429E-01 1.68584E+03
1.92000E-01 3.46392E-01 1.68767E+03
1.93000E-01 3.48359E-01 1.68940E+03
1.94000E-01 3.50327E-01 1.69105E+03
1.95000E-01 3.52296E-01 1.69263E+03
1.96000E-01 3.54267E-01 1.69416E+03
1.97000E-01 3.56239E-01 1.69564E+03
1.98000E-01 3.58213E-01 1.69707E+03
1.99000E-01 3.60187E-01 1.69847E+03
2.00000E-01 3.62162E-01 1.69984E+03
2.01000E-01 3.64138E-01 1.70117E+03
2.02000E-01 3.66114E-01 1.70247E+03
2.03000E-01 3.68091E-01 1.70374E+03
2.04000E-01 3.70069E-01 1.70498E+03
2.05000E-01 3.72048E-01 1.70620E+03
2.06000E-01 3.74027E-01 1.70739E+03
2.07000E-01 3.76007E-01 1.70856E+03
2.08000E-01 3.77987E-01 1.70971E+03
2.09000E-01 3.79968E-01 1.71083E+03
2.10000E-01 3.81950E-01 1.71194E+03
2.11000E-01 3.83931E-01 1.71302E+03
2.12000E-01 3.85914E-01 1.71409E+03
2.13000E-01 3.87896E-01 1.71514E+03
2.14000E-01 3.89880E-01 1.71617E+03
2.15000E-01 3.91863E-01 1.71719E+03
2.16000E-01 3.93847E-01 1.71819E+03
2.17000E-01 3.95832E-01 1.71918E+03
2.18000E-01 3.97816E-01 1.72015E+03
2.19000E-01 3.99801E-01 1.72111E+03
2.20000E-01 4.01787E-01 1.72206E+03
2.21000E-01 4.03773E-01 1.72299E+03
2.22000E-01 4.05759E-01 1.72392E+03
2.23000E-01 4.07745E-01 1.72483E+03
2.24000E-01 4.09732E-01 1.72573E+03
2.25000E-01 4.11718E-01 1.72662E+03
2.26000E-01 4.13706E-01 1.72750E+03
2.27000E-01 4.15693E-01 1.72838E+03
2.28000E-01 4.17681E-01 1.72924E+03
2.29000E-01 4.19668E-01 1.73010E+03
2.30000E-01 4.21656E-01 1.73095E+03
2.31000E-01 4.23645E-01 1.73179E+03
2.32000E-01 4.25633E-01 1.73262E+03
2.33000E-01 4.27622E-01 1.73345E+03
2.34000E-01 4.29611E-01 1.73427E+03
2.35000E-01 4.31600E-01 1.73508E+03
2.36000E-01 4.33589E-01 1.73589E+03
2.37000E-01 4.35578E-01 1.73669E+03
2.38000E-01 4.37568E-01 1.73749E+03
2.39000E-01 4.39558E-01 1.73828E+03
2.40000E-01 4.41547E-01 1.73906E+03
2.41000E-01 4.43537E-01 1.73984E+03
2.42000E-01 4.45528E-01 1.74061E+03
2.43000E-01 4.47518E-01 1.74138E+03
2.44000E-01 4.49508E-01 1.74214E+03
2.45000E-01 4.51499E-01 1.74290E+03
2.46000E-01 4.53490E-01 1.74366E+03
2.47000E-01 4.55481E-01 1.74441E+03
2.48000E-01 4.57472E-01 1.74515E+03
2.49000E-01 4.59463E-01 1.74589E+03
2.50000E-01 4.61454E-01 1.74662E+03
2.51000E-01 4.63446E-01 1.74736E+03
2.52000E-01 4.65437E-01 1.74808E+03
2.53000E-01 4.67429E-01 1.74880E+03
2.54000E-01 4.69421E-01 1.74952E+03
2.55000E-01 4.71413E-01 1.75023E+03
2.56000E-01 4.73405E-01 1.75094E+03
2.57000E-01 4.75398E-01 1.75165E+03
2.58000E-01 4.77390E-01 1.75235E+03
2.59000E-01 4.79383E-01 1.75305E+03
2.60000E-01 4.81375E-01 1.75374E+03
2.61000E-01 4.83368E-01 1.75443E+03
2.62000E-01 4.85361E-01 1.75511E+03
2.63000E-01 4.87354E-01 1.75580E+03
2.64000E-01 4.89347E-01 1.75647E+03
2.65000E-01 4.91340E-01 1.75715E+03
2.66000E-01 4.93334E-01 1.75782E+03
2.67000E-01 4.95327E-01 1.75849E+03
2.68000E-01 4.97321E-01 1.75915E+03
2.69000E-01 4.99314E-01 1.75981E+03
2.70000E-01 5.01308E-01 1.76047E+03
2.71000E-01 5.03302E-01 1.76112E+03
2.72000E-01 5.05296E-01 1.76178E+03
2.73000E-01 5.07290E-01 1.76242E+03
2.74000E-01 5.09284E-01 1.76307E+03
2.75000E-01 5.11279E-01 1.76371E+03
2.76000E-01 5.13273E-01 1.76435E+03
2.77000E-01 5.15268E-01 1.76499E+03
2.78000E-01 5.17262E-01 1.76562E+03
2.79000E-01 5.19257E-01 1.76625E+03
2.80000E-01 5.21252E-01 1.76688E+03
2.81000E-01 5.23247E-01 1.76750E+03
2.82000E-01 5.25242E-01 1.76813E+03
2.83000E-01 5.27237E-01 1.76874E+03
2.84000E-01 5.29232E-01 1.76936E+03
2.85000E-01 5.31228E-01 1.76997E+03
2.86000E-01 5.33223E-01 1.77059E+03
2.87000E-01 5.35219E-01 1.77119E+03
2.88000E-01 5.37214E-01 1.77180E+03
2.89000E-01 5.39210E-01 1.77240E+03
2.90000E-01 5.41206E-01 1.77300E+03
2.91000E-01 5.43202E-01 1.77360E+03
2.92000E-01 5.45198E-01 1.77420E+03
2.93000E-01 5.47194E-01 1.77479E+03
2.94000E-01 5.49190E-01 1.77538E+03
2.95000E-01 5.51186E-01 1.77597E+03
2.96000E-01 5.53183E-01 1.77655E+03
2.97000E-01 5.55179E-01 1.77713E+03
2.98000E-01 5.57176E-01 1.77771E+03
2.99000E-01 5.59172E-01 1.77829E+03
3.00000E-01 5.61169E-01 1.77886E+03
3.01000E-01 5.63166E-01 1.77944E+03
3.02000E-01 5.65163E-01 1.78001E+03
3.03000E-01 5.67160E-01 1.78057E+03
3.04000E-01 5.69157E-01 1.78114E+03
3.05000E-01 5.71154E-01 1.78170E+03
3.06000E-01 5.73152E-01 1.78226E+03
3.07000E-01 5.75149E-01 1.78282E+03
3.08000E-01 5.77146E-01 1.78338E+03
3.09000E-01 5.79144E-01 1.78393E+03
3.10000E-01 5.81142E-01 1.78448E+03
3.11000E-01 5.83139E-01 1.78503E+03
3.12000E-01 5.85137E-01 1.78557E+03
3.13000E-01 5.87135E-01 1.78612E+03
3.14000E-01 5.89133E-01 1.78666E+03
