#Instant	Da
0	0
0.001	0
0.002	0
0.003	0
0.004	0
0.005	0
0.006	0
0.007	0
0.008	0
0.009	0
0.01	0
0.011	0
0.012	0
0.013	0
0.014	0
0.015	0
0.016	0
0.017	0
0.018	0
0.019	0
0.02	0
0.021	0
0.022	0
0.023	0
0.024	0
0.025	0
0.026	0
0.027	0
0.028	0
0.029	0
0.03	0
0.031	0
0.032	0
0.033	0
0.034	0
0.035	0
0.036	0
0.037	0
0.038	0
0.039	0
0.04	0
0.041	0
0.042	0
0.043	0
0.044	0
0.045	0
0.046	0
0.047	0
0.048	0
0.049	0
0.05	0
0.051	0
0.052	0
0.053	0
0.054	0
0.055	0
0.056	0
0.057	0
0.058	0
0.059	0
0.06	0
0.061	0
0.062	0
0.063	0
0.064	0
0.065	0
0.066	0
0.067	0
0.068	0
0.069	0
0.07	0
0.071	0
0.072	0
0.073	0
0.074	0
0.075	0
0.076	0
0.077	0
0.078	0
0.079	0
0.08	0
0.081	0
0.082	0
0.083	0
0.084	0
0.085	0
0.086	0
0.087	0
0.088	0
0.089	0
0.09	0
0.091	0
0.092	0
0.093	0
0.094	0
0.095	0
0.096	0
0.097	0
0.098	0
0.099	0
0.1	0
0.101	0
0.102	0
0.103	0
0.104	0
0.105	0
0.106	0
0.107	0
0.108	0
0.109	0
0.11	0
0.111	0
0.112	0
0.113	0
0.114	0
0.115	0
0.116	0
0.117	0
0.118	0
0.119	0
0.12	0
0.121	0
0.122	0
0.123	0
0.124	0
0.125	0
0.126	0
0.127	0
0.128	0
0.129	0
0.13	0
0.131	0
0.132	0
0.133	0
0.134	0
0.135	0
0.136	0
0.137	0
0.138	0
0.139	0
0.14	0
0.141	0
0.142	0
0.143	0
0.144	0
0.145	0
0.146	0
0.147	0
0.148	0
0.149	0
0.15	0
0.151	0
0.152	0
0.153	0
0.154	0
0.155	0
0.156	0
0.157	0
0.158	0
0.159	0
0.16	0
0.161	0
0.162	0
0.163	0
0.164	0
0.165	0
0.166	0
0.167	0
0.168	0
0.169	0
0.17	0
0.171	0
0.172	0
0.173	0
0.174	0
0.175	0
0.176	0
0.177	0
0.178	0
0.179	0
0.18	0
0.181	0
0.182	0
0.183	0
0.184	0
0.185	0
0.186	0
0.187	0
0.188	0
0.189	0
0.19	0
0.191	0
0.192	0
0.193	0
0.194	0
0.195	0
0.196	0
0.197	0
0.198	0
0.199	0
0.2	0
0.201	0
0.202	0
0.203	0
0.204	0
0.205	0
0.206	0
0.207	0
0.208	0
0.209	0
0.21	0
0.211	0
0.212	0
0.213	0.074425467
0.214	0.133744032
0.215	0.159770244
0.216	0.172973692
0.217	0.199560481
0.218	0.199087913
0.219	0.211757828
0.22	0.224409988
0.221	0.224401016
0.222	0.237718965
0.223	0.237445453
0.224	0.250850666
0.225	0.250514196
0.226	0.263761671
0.227	0.276988616
0.228	0.276446507
0.229	0.289512554
0.23	0.288947526
0.231	0.302162073
0.232	0.301680672
0.233	0.314946808
0.234	0.314513973
0.235	0.327824801
0.236	0.327355818
0.237	0.340659381
0.238	0.353990101
0.239	0.353541754
0.24	0.366903026
0.241	0.366545241
0.242	0.38002155
0.243	0.379732194
0.244	0.39330944
0.245	0.406909105
0.246	0.406665416
0.247	0.420274334
0.248	0.420046502
0.249	0.43369508
0.25	0.433462422
0.251	0.44710783
0.252	0.460733636
0.253	0.460398615
0.254	0.473941967
0.255	0.473547708
0.256	0.487090696
0.257	0.500614698
0.258	0.500238095
0.259	0.513834415
0.26	0.513485591
0.261	0.527139146
0.262	0.540865905
0.263	0.540653969
0.264	0.554418019
0.265	0.554241613
0.266	0.568051815
0.267	0.567856254
0.268	0.581642752
0.269	0.595441685
0.27	0.595220781
0.271	0.608961101
0.272	0.608697893
0.273	0.622440331
0.274	0.622118841
0.275	0.63578084
0.276	0.64943083
0.277	0.649010573
0.278	0.66254837
0.279	0.662036273
0.28	0.675535055
0.281	0.674917879
0.282	0.68829771
0.283	0.701654023
0.284	0.700905393
0.285	0.714132263
0.286	0.727346834
0.287	0.726464305
0.288	0.73955213
0.289	0.738577107
0.29	0.751627535
0.291	0.750558331
0.292	0.763493582
0.293	0.776420913
0.294	0.775245526
0.295	0.788064266
0.296	0.786812328
0.297	0.799615053
0.298	0.812332068
0.299	0.810983446
0.3	0.823678822
0.301	0.822254252
0.302	0.834863224
0.303	0.847489602
0.304	0.846021356
0.305	0.85858958
0.306	0.857095283
0.307	0.869695312
0.308	0.868169129
0.309	0.880721238
0.31	0.893287745
0.311	0.891752277
0.312	0.904286757
0.313	0.916863134
0.314	0.915365751
0.315	0.927982626
0.316	0.926621998
0.317	0.939477414
0.318	0.952383363
0.319	0.951331784
0.32	0.964449527
0.321	0.963534922
0.322	0.976772902
0.323	0.990089938
0.324	0.989360451
0.325	1.00274545
0.326	1.002087419
0.327	1.015571785
0.328	1.029040052
0.32825	1.028966047
0.3285	1.028824682
0.32875	1.042797737
0.329	1.042644224
0.33	1.041952103
0.331	1.055439831
0.332	1.054860432
0.333	1.068407013
0.334	1.081961775
0.335	1.081419557
0.336	1.095049003
0.337	1.108684629
0.338	1.108227585
0.339	1.121944838
0.34	1.121508325
0.341	1.135231435
0.342	1.14898929
0.343	1.148608387
0.344	1.162368708
0.345	1.176177048
0.346	1.175837513
0.347	1.189634229
0.348	1.189322658
0.349	1.203185192
0.35	1.202878895
0.351	1.216733966
0.352	1.230619856
0.353	1.230365975
0.354	1.244251622
0.355	1.258174097
0.356	1.257985884
0.357	1.27191723
0.358	1.271766334
0.359	1.285761519
0.36	1.285623436
0.361	1.29962669
0.362	1.313662209
0.363	1.313573589
0.364	1.327611739
0.365	1.327556487
0.366	1.341659537
0.367	1.355743938
0.368	1.355740936
0.369	1.369889996
0.37	1.369898778
0.371	1.384070782
0.372	1.39827617
0.373	1.398340296
0.374	1.412558944
0.375	1.426820397
0.376	1.426939724
0.377	1.441206319
0.378	1.441359955
0.379	1.455692526
0.38	1.470004627
0.381	1.470211447
0.382	1.484591948
0.383	1.484810011
0.384	1.49920476
0.385	1.513632617
0.386	1.513901931
0.387	1.528331543
0.388	1.542804868
0.389	1.543123599
0.39	1.55759145
0.391	1.557939164
0.392	1.57246693
0.393	1.572821957
0.394	1.587360206
0.395	1.601925463
0.396	1.60232077
0.397	1.616879692
0.398	1.63146985
0.399	1.631889164
0.4	1.646455397
0.401	1.646885203
0.402	1.661492275
0.403	1.66190878
0.404	1.676510514
0.405	1.691127743
0.406	1.691557168
0.407	1.706155721
0.408	1.720778624
0.409	1.721217908
0.41	1.735812194
0.411	1.736256392
0.412	1.750887432
0.413	1.751315529
0.414	1.765940499
0.415	1.780579319
0.416	1.781023075
0.417	1.795647915
0.418	1.810297279
0.419	1.810756414
0.42	1.825382653
0.421	1.82584858
0.422	1.840511167
0.423	1.855134449
0.424	1.855610533
0.425	1.87027059
0.426	1.870724617
0.427	1.885361794
0.428	1.900014771
0.429	1.900459554
0.43	1.915066893
0.431	1.915490706
0.432	1.930101593
0.433	1.944654643
0.434	1.945045217
0.435	1.959589986
0.436	1.959926245
0.437	1.974418611
0.438	1.98894533
0.439	1.989222848
0.44	2.003694399
0.441	2.003957798
0.442	2.018444382
0.443	2.032864302
0.444	2.033131797
0.445	2.047607444
0.446	2.047847993
0.447	2.062305485
0.448	2.07679943
0.449	2.077064178
0.45	2.091547178
0.451	2.091843294
0.452	2.106348028
0.453	2.120832429
0.454	2.121172243
0.455	2.135713999
0.456	2.136029057
0.457	2.150571202
0.458	2.165140605
0.459	2.165498548
0.46	2.180077923
0.461	2.180439164
0.462	2.195047727
0.463	2.19542093
0.464	2.210026709
0.465	2.224649807
0.466	2.225067161
0.467	2.239677397
0.468	2.254327912
0.469	2.25477353
0.47	2.269410813
0.471	2.26986065
0.472	2.284518686
0.473	2.284954967
0.474	2.299622398
0.475	2.31430709
0.476	2.314764629
0.477	2.329440268
0.478	2.344141576
0.479	2.344638669
0.48	2.359303339
0.481	2.359812484
0.482	2.374512334
0.483	2.374990273
0.484	2.389696942
0.485	2.404422323
0.486	2.404935219
0.487	2.419627786
0.488	2.420132937
0.489	2.434868664
0.49	2.435356078
0.491	2.450087977
0.492	2.464829687
0.493	2.465352837
0.494	2.480055995
0.495	2.49481455
0.496	2.495330291
0.497	2.510051906
0.498	2.510574219
0.499	2.525317834
0.5	2.525830336
